ndmi_mean,ndmi_std,date,area
-0.21415809,0.035611797,2017-05-01,dhuusamarreeb
-0.20409057,0.042829935,2017-06-01,dhuusamarreeb
-0.20433576,0.03567604,2017-07-01,dhuusamarreeb
-0.21340749,0.038327303,2017-08-01,dhuusamarreeb
-0.20665424,0.034465563,2017-09-01,dhuusamarreeb
-0.21526736,0.03402174,2017-10-01,dhuusamarreeb
-0.2142325,0.036791466,2017-11-01,dhuusamarreeb
-0.15136194,0.047107607,2017-12-01,dhuusamarreeb
-0.165037,0.034727763,2018-01-01,dhuusamarreeb
-0.18662366,0.034547504,2018-02-01,dhuusamarreeb
-0.20333228,0.03985232,2018-03-01,dhuusamarreeb
-0.19865352,0.034641653,2018-04-01,dhuusamarreeb
-0.17357223,0.07174339,2018-05-01,dhuusamarreeb
-0.1404661,0.052689634,2018-06-01,dhuusamarreeb
-0.16396634,0.035694167,2018-07-01,dhuusamarreeb
-0.1866876,0.041336007,2018-08-01,dhuusamarreeb
-0.19318612,0.0331522,2018-09-01,dhuusamarreeb
-0.20666818,0.034253083,2018-10-01,dhuusamarreeb
-0.20022857,0.038585663,2018-11-01,dhuusamarreeb
-0.19476677,0.045343526,2018-12-01,dhuusamarreeb
-0.20830885,0.033489004,2019-01-01,dhuusamarreeb
-0.20346315,0.03607029,2019-02-01,dhuusamarreeb
-0.20935081,0.03342012,2019-03-01,dhuusamarreeb
-0.20943025,0.033846356,2019-04-01,dhuusamarreeb
-0.22215961,0.039204445,2019-05-01,dhuusamarreeb
-0.20203297,0.061588693,2019-06-01,dhuusamarreeb
-0.19646369,0.0322797,2019-07-01,dhuusamarreeb
-0.20164002,0.038245838,2019-08-01,dhuusamarreeb
-0.2169414,0.03099786,2019-09-01,dhuusamarreeb
-0.21772496,0.032124538,2019-10-01,dhuusamarreeb
-0.1548359,0.07017482,2019-11-01,dhuusamarreeb
-0.13508968,0.042459056,2019-12-01,dhuusamarreeb
-0.14192118,0.038699284,2020-01-01,dhuusamarreeb
-0.17310347,0.033684533,2020-02-01,dhuusamarreeb
-0.19496815,0.03091272,2020-03-01,dhuusamarreeb
-0.19934943,0.029891523,2020-04-01,dhuusamarreeb
-0.18548983,0.038217787,2020-05-01,dhuusamarreeb
-0.15225948,0.042472042,2020-06-01,dhuusamarreeb
-0.18843907,0.031898446,2020-07-01,dhuusamarreeb
-0.185908,0.0355219,2020-08-01,dhuusamarreeb
-0.21318038,0.034061216,2020-09-01,dhuusamarreeb
-0.21525916,0.036756318,2020-10-01,dhuusamarreeb
-0.20596945,0.037374645,2020-11-01,dhuusamarreeb
-0.15727901,0.06382493,2020-12-01,dhuusamarreeb
-0.1932219,0.030046782,2021-01-01,dhuusamarreeb
-0.19859508,0.029114047,2021-02-01,dhuusamarreeb
-0.21327816,0.028489705,2021-03-01,dhuusamarreeb
-0.21308605,0.030144779,2021-04-01,dhuusamarreeb
-0.2140822,0.041655056,2021-05-01,dhuusamarreeb
-0.1655853,0.045761686,2021-06-01,dhuusamarreeb
-0.17396495,0.044403356,2021-07-01,dhuusamarreeb
-0.212161,0.043056604,2021-08-01,dhuusamarreeb
-0.21612483,0.030776514,2021-09-01,dhuusamarreeb
-0.21937408,0.02893684,2021-10-01,dhuusamarreeb
-0.21818143,0.038535494,2021-11-01,dhuusamarreeb
-0.2000598,0.035651937,2021-12-01,dhuusamarreeb
-0.2020235,0.03251374,2022-01-01,dhuusamarreeb
-0.2020505,0.031792767,2017-02-01,cabudwaaq
-0.20909522,0.03339238,2017-03-01,cabudwaaq
-0.21142848,0.034829848,2017-04-01,cabudwaaq
-0.21563977,0.034345694,2017-05-01,cabudwaaq
-0.20738178,0.048714552,2017-06-01,cabudwaaq
-0.21111642,0.03763357,2017-07-01,cabudwaaq
-0.2186753,0.036313932,2017-08-01,cabudwaaq
-0.21205346,0.03579205,2017-09-01,cabudwaaq
-0.21767443,0.03520071,2017-10-01,cabudwaaq
-0.21924989,0.038117815,2017-11-01,cabudwaaq
-0.14215344,0.052931685,2017-12-01,cabudwaaq
-0.15998362,0.042591777,2018-01-01,cabudwaaq
-0.1785717,0.036645427,2018-02-01,cabudwaaq
-0.19819868,0.037593246,2018-03-01,cabudwaaq
-0.19528213,0.034651563,2018-04-01,cabudwaaq
-0.1632376,0.07268339,2018-05-01,cabudwaaq
-0.12368091,0.057705197,2018-06-01,cabudwaaq
-0.14788204,0.041855466,2018-07-01,cabudwaaq
-0.17334658,0.03865678,2018-08-01,cabudwaaq
-0.18465495,0.031568147,2018-09-01,cabudwaaq
-0.19773705,0.031941492,2018-10-01,cabudwaaq
-0.1904519,0.038659632,2018-11-01,cabudwaaq
-0.19063187,0.034290586,2018-12-01,cabudwaaq
-0.20810874,0.03019149,2019-01-01,cabudwaaq
-0.20157658,0.031868167,2019-02-01,cabudwaaq
-0.2084304,0.03177409,2019-03-01,cabudwaaq
-0.20807518,0.03255206,2019-04-01,cabudwaaq
-0.22467133,0.037606765,2019-05-01,cabudwaaq
-0.19636169,0.06575696,2019-06-01,cabudwaaq
-0.18781102,0.03403357,2019-07-01,cabudwaaq
-0.19813055,0.038414884,2019-08-01,cabudwaaq
-0.21541698,0.028509038,2019-09-01,cabudwaaq
-0.21837096,0.03038331,2019-10-01,cabudwaaq
-0.1433882,0.076663695,2019-11-01,cabudwaaq
-0.12447228,0.05046059,2019-12-01,cabudwaaq
-0.12635428,0.050292224,2020-01-01,cabudwaaq
-0.15125434,0.0428867,2020-02-01,cabudwaaq
-0.18004718,0.031585716,2020-03-01,cabudwaaq
-0.18840778,0.029348165,2020-04-01,cabudwaaq
-0.1812375,0.037517328,2020-05-01,cabudwaaq
-0.13999064,0.05047449,2020-06-01,cabudwaaq
-0.18640739,0.03420955,2020-07-01,cabudwaaq
-0.18256584,0.03297387,2020-08-01,cabudwaaq
-0.19745485,0.0443648,2020-09-01,cabudwaaq
-0.20467496,0.04196912,2020-10-01,cabudwaaq
-0.19235845,0.041173764,2020-11-01,cabudwaaq
-0.15971513,0.058910903,2020-12-01,cabudwaaq
-0.19654074,0.03172119,2021-01-01,cabudwaaq
-0.20065022,0.029601427,2021-02-01,cabudwaaq
-0.2145528,0.028282482,2021-03-01,cabudwaaq
-0.2167342,0.031250212,2021-04-01,cabudwaaq
-0.22042806,0.037118793,2021-05-01,cabudwaaq
-0.15188313,0.050871618,2021-06-01,cabudwaaq
-0.16053785,0.048170872,2021-07-01,cabudwaaq
-0.21563992,0.036728192,2021-08-01,cabudwaaq
-0.21940494,0.03163833,2021-09-01,cabudwaaq
-0.2210554,0.02854534,2021-10-01,cabudwaaq
-0.22284016,0.03921052,2021-11-01,cabudwaaq
-0.20344819,0.033824246,2021-12-01,cabudwaaq
-0.20683303,0.03191305,2022-01-01,cabudwaaq
-0.18696143,0.036314454,2017-02-01,cadaado
-0.19484644,0.04389564,2017-03-01,cadaado
-0.19623466,0.039666947,2017-04-01,cadaado
-0.20117521,0.03918203,2017-05-01,cadaado
-0.20243141,0.040674437,2017-06-01,cadaado
-0.2005694,0.03672869,2017-07-01,cadaado
-0.20494588,0.03782877,2017-08-01,cadaado
-0.19706655,0.038961764,2017-09-01,cadaado
-0.20476285,0.038752332,2017-10-01,cadaado
-0.20943798,0.038602147,2017-11-01,cadaado
-0.1655654,0.034790393,2017-12-01,cadaado
-0.17197925,0.03568867,2018-01-01,cadaado
-0.18031132,0.037988055,2018-02-01,cadaado
-0.19480279,0.03954711,2018-03-01,cadaado
-0.19023381,0.04102537,2018-04-01,cadaado
-0.18235974,0.06781161,2018-05-01,cadaado
-0.16523404,0.04738838,2018-06-01,cadaado
-0.17102998,0.03210931,2018-07-01,cadaado
-0.19107535,0.036178287,2018-08-01,cadaado
-0.19237798,0.034674365,2018-09-01,cadaado
-0.20098287,0.037622128,2018-10-01,cadaado
-0.1894103,0.03556665,2018-11-01,cadaado
-0.18888098,0.039983492,2018-12-01,cadaado
-0.19490886,0.038781956,2019-01-01,cadaado
-0.18834923,0.038438134,2019-02-01,cadaado
-0.19649686,0.039866723,2019-03-01,cadaado
-0.19443657,0.041417383,2019-04-01,cadaado
-0.21016704,0.042481113,2019-05-01,cadaado
-0.1921298,0.0626423,2019-06-01,cadaado
-0.19338715,0.033839643,2019-07-01,cadaado
-0.19517088,0.03758285,2019-08-01,cadaado
-0.20897084,0.035728093,2019-09-01,cadaado
-0.2076114,0.038170654,2019-10-01,cadaado
-0.17742702,0.06297698,2019-11-01,cadaado
-0.1485021,0.03710994,2019-12-01,cadaado
-0.14331515,0.032307442,2020-01-01,cadaado
-0.16804504,0.028156608,2020-02-01,cadaado
-0.18071747,0.027747435,2020-03-01,cadaado
-0.18666323,0.029314589,2020-04-01,cadaado
-0.18732318,0.036810923,2020-05-01,cadaado
-0.15921639,0.03672258,2020-06-01,cadaado
-0.18758626,0.028483318,2020-07-01,cadaado
-0.1874588,0.027891865,2020-08-01,cadaado
-0.2097375,0.034201145,2020-09-01,cadaado
-0.213643,0.03739262,2020-10-01,cadaado
-0.20406124,0.038163386,2020-11-01,cadaado
-0.16815957,0.050812855,2020-12-01,cadaado
-0.19398655,0.028240696,2021-01-01,cadaado
-0.19098325,0.03063196,2021-02-01,cadaado
-0.20229709,0.033836443,2021-03-01,cadaado
-0.1990719,0.034275435,2021-04-01,cadaado
-0.19186744,0.053186882,2021-05-01,cadaado
-0.164392,0.04265801,2021-06-01,cadaado
-0.17274296,0.036020994,2021-07-01,cadaado
-0.207121,0.03885234,2021-08-01,cadaado
-0.20911089,0.032082837,2021-09-01,cadaado
-0.21282196,0.03349941,2021-10-01,cadaado
-0.20943661,0.039646357,2021-11-01,cadaado
-0.19947334,0.035336696,2021-12-01,cadaado
-0.20147915,0.035887416,2022-01-01,cadaado
