country,level 1 name,area,area id,analysis name,date of analysis,country population,#,% of total county pop,area phase,analysis period,phase 1#,phase 1%,phase 2#,phase 2%,phase 3#,phase 3%,phase 4#,phase 4%,phase 5#,phase 5%,phase 3+#,phase 3+%,# of population analyzed,% of population analyzed,projected area phase,projection period,projected phase 1#,projected phase 1%,projected phase 2#,projected phase 2%,projected phase 3#,projected phase 3%,projected phase 4#,projected phase 4%,projected phase 5#,projected phase 5%,projected phase 3+#,projected phase 3+%
South Sudan,Unity,Mayom,14113420.0,Acute Food Insecurity January 2020,Jan 2020,,151690.0,,3.0,Jan 2020 - Jan 2020,15169.0,0.1,53092.0,0.35,68261.0,0.45,15169.0,0.1,0.0,0.0,83430.0,0.55,151690.0,,3.0,Feb 2020 - Apr 2020,15169.0,0.1,45507.0,0.3,68261.0,0.45,22754.0,0.15,0.0,0.0,91015.0,0.6
South Sudan,Unity,Panyijiar,14113350.0,Acute Food Insecurity January 2020,Jan 2020,,109541.0,,3.0,Jan 2020 - Jan 2020,10954.0,0.1,32862.0,0.3,54771.0,0.5,10954.0,0.1,0.0,0.0,65725.0,0.6,109541.0,,3.0,Feb 2020 - Apr 2020,10954.0,0.1,21908.0,0.2,60248.0,0.55,16431.0,0.15,0.0,0.0,76679.0,0.7
South Sudan,Unity,Pariang,14113311.0,Acute Food Insecurity January 2020,Jan 2020,,127465.0,,3.0,Jan 2020 - Jan 2020,19120.0,0.15,70106.0,0.55,38240.0,0.3,0.0,0.0,0.0,0.0,38240.0,0.3,127465.0,,3.0,Feb 2020 - Apr 2020,19120.0,0.15,57359.0,0.45,44613.0,0.35,6373.0,0.05,0.0,0.0,50986.0,0.4
South Sudan,Unity,Rubkona,14113434.0,Acute Food Insecurity January 2020,Jan 2020,,319746.0,,3.0,Jan 2020 - Jan 2020,95924.0,0.3,111911.0,0.35,111911.0,0.35,0.0,0.0,0.0,0.0,111911.0,0.35,319746.0,,3.0,Feb 2020 - Apr 2020,95924.0,0.3,95924.0,0.3,127898.0,0.4,0.0,0.0,0.0,0.0,127898.0,0.4
Upper Nile,,,,,Jan 2020,,1377076.0,,,Jan 2020 - Jan 2020,240000.0,0.174282319930055,405000.0,0.294101414881967,560000.0,0.406658746503461,175000.0,0.127080858282332,0.0,0.0,735000.0,0.53373960478579,1377076.0,,,Feb 2020 - Apr 2020,200000.0,0.145235266608379,360000.0,0.261423479895082,580000.0,0.421182273164299,235000.0,0.170651438264845,0.0,0.0,815000.0,0.59183371142914
South Sudan,Upper Nile,Baliet,14113374.0,Acute Food Insecurity January 2020,Jan 2020,,54058.0,,3.0,Jan 2020 - Jan 2020,10812.0,0.2,18920.0,0.35,21623.0,0.4,2703.0,0.05,0.0,0.0,24326.0,0.45,54058.0,,3.0,Feb 2020 - Apr 2020,8109.0,0.15,16217.0,0.3,24326.0,0.45,5406.0,0.1,0.0,0.0,29732.0,0.55
South Sudan,Upper Nile,Fashoda,14113432.0,Acute Food Insecurity January 2020,Jan 2020,,73476.0,,3.0,Jan 2020 - Jan 2020,14695.0,0.2,25717.0,0.35,29390.0,0.4,3674.0,0.05,0.0,0.0,33064.0,0.45,73476.0,,3.0,Feb 2020 - Apr 2020,14695.0,0.2,22043.0,0.3,29390.0,0.4,7348.0,0.1,0.0,0.0,36738.0,0.5
South Sudan,Upper Nile,Longochuk,14113446.0,Acute Food Insecurity January 2020,Jan 2020,,57301.0,,4.0,Jan 2020 - Jan 2020,5730.0,0.1,17190.0,0.3,22920.0,0.4,11460.0,0.2,0.0,0.0,34380.0,0.6,57301.0,,4.0,Feb 2020 - Apr 2020,2865.0,0.05,17190.0,0.3,25785.0,0.45,11460.0,0.2,0.0,0.0,37245.0,0.65
South Sudan,Upper Nile,Luakpiny/nasir,14113460.0,Acute Food Insecurity January 2020,Jan 2020,,260703.0,,3.0,Jan 2020 - Jan 2020,39105.0,0.15,52141.0,0.2,130352.0,0.5,39105.0,0.15,0.0,0.0,169457.0,0.65,260703.0,,4.0,Feb 2020 - Apr 2020,26070.0,0.1,52141.0,0.2,130352.0,0.5,52141.0,0.2,0.0,0.0,182493.0,0.7
South Sudan,Upper Nile,Maban,14113362.0,Acute Food Insecurity January 2020,Jan 2020,,55177.0,,4.0,Jan 2020 - Jan 2020,5518.0,0.1,13794.0,0.25,24830.0,0.45,11035.0,0.2,0.0,0.0,35865.0,0.65,55177.0,,3.0,Feb 2020 - Apr 2020,8277.0,0.15,13794.0,0.25,24830.0,0.45,8277.0,0.15,0.0,0.0,33107.0,0.6
