area,date,area_phase
wanla weyn,2012-01-01,2.001369290223815
baydhaba,2012-01-01,2.612979769321428
buur hakaba,2012-01-01,2.788511999910704
diinsoor,2012-01-01,2.450813667709064
qansax dheere,2012-01-01,2.031026191685424
xudur,2012-01-01,3.0
ceel barde,2012-01-01,3.0
tayeeglow,2012-01-01,3.0
waajid,2012-01-01,3.0
rab dhuure,2012-01-01,3.0
garbahaarey,2012-01-01,2.5163484867779884
baardheere,2012-01-01,2.318533545233441
belet xaawo,2012-01-01,2.069431870140355
ceel waaq,2012-01-01,2.0
doolow,2012-01-01,3.15802052299423
luuq,2012-01-01,2.700106519185053
bu'aale,2012-01-01,3.4273763506994053
jilib,2012-01-01,3.301414376640849
saakow,2012-01-01,2.4893121449950453
kismaayo,2012-01-01,2.5985386886881203
afmadow,2012-01-01,2.9291944660506406
badhaadhe,2012-01-01,3.4845638215637624
jamaame,2012-01-01,3.363848674629672
banadir,2010-07-01,3.921566682625728
borama,2010-07-01,2.0
baki,2010-07-01,2.0
lughaye,2010-07-01,2.0
zeylac,2010-07-01,2.000186237857012
hargeysa,2010-07-01,2.0114492838099767
berbera,2010-07-01,2.0
gebiley,2010-07-01,2.0
burco,2010-07-01,2.163806215545156
buuhoodle,2010-07-01,2.0
owdweyne,2010-07-01,2.417395125407732
sheikh,2010-07-01,2.201182802378717
laas caanood,2010-07-01,2.00012493971946
caynabo,2010-07-01,2.0
taleex,2010-07-01,2.4268757216903287
xudun,2010-07-01,2.000826777807524
ceerigaabo,2010-07-01,2.470817931096561
ceel afweyn,2010-07-01,2.0
laasqoray,2010-07-01,2.2853542721409066
bossaso,2010-07-01,2.0
bandarbeyla,2010-07-01,2.000022285212053
caluula,2010-07-01,2.0
iskushuban,2010-07-01,2.0
qandala,2010-07-01,2.0
qardho,2010-07-01,2.000013627798418
garoowe,2010-07-01,2.2117199387881965
burtinle,2010-07-01,2.9999803341426023
eyl,2010-07-01,2.9278059100702536
gaalkacyo,2010-07-01,3.391248887765549
galdogob,2010-07-01,3.0
hobyo,2010-07-01,3.8177538757434286
jariiban,2010-07-01,3.780644530997265
xarardheere,2010-07-01,3.0970740003225306
dhuusamarreeb,2010-07-01,3.623993930439709
cabudwaaq,2010-07-01,3.0
cadaado,2010-07-01,3.348657887429312
ceel buur,2010-07-01,3.669673842278253
ceel dheer,2010-07-01,3.0
belet weyne,2010-07-01,2.999999139796699
bulo burto,2010-07-01,3.0
jalalaqsi,2010-07-01,3.0
jowhar,2010-07-01,3.0
adan yabaal,2010-07-01,3.0
balcad,2010-07-01,2.999996950793444
cadale,2010-07-01,3.0
marka,2010-07-01,2.0
afgooye,2010-07-01,2.06362424458717
baraawe,2010-07-01,2.0
kurtunwaarey,2010-07-01,2.0
qoryooley,2010-07-01,2.0
sablaale,2010-07-01,2.0
wanla weyn,2010-07-01,2.003689075536544
baydhaba,2010-07-01,2.003954700297295
buur hakaba,2010-07-01,2.0009205323063104
diinsoor,2010-07-01,2.0
qansax dheere,2010-07-01,2.002983958424279
xudur,2010-07-01,4.0
ceel barde,2010-07-01,3.9990331914827504
tayeeglow,2010-07-01,3.997650618687575
waajid,2010-07-01,3.951698863743857
rab dhuure,2010-07-01,3.3416640943549245
garbahaarey,2010-07-01,2.999441604350418
baardheere,2010-07-01,2.119849065583893
belet xaawo,2010-07-01,3.0
ceel waaq,2010-07-01,2.001910835199298
doolow,2010-07-01,2.9999942691974875
luuq,2010-07-01,3.000268884005106
bu'aale,2010-07-01,2.0
jilib,2010-07-01,2.0
saakow,2010-07-01,2.000557093768267
kismaayo,2010-07-01,2.0
afmadow,2010-07-01,2.0
badhaadhe,2010-07-01,2.0
jamaame,2010-07-01,2.0
banadir,2010-10-01,3.925816734070082
borama,2010-10-01,2.0
baki,2010-10-01,2.0
lughaye,2010-10-01,2.0
zeylac,2010-10-01,2.0
hargeysa,2010-10-01,2.0
berbera,2010-10-01,2.0
gebiley,2010-10-01,2.0
burco,2010-10-01,2.0
buuhoodle,2010-10-01,2.0
owdweyne,2010-10-01,2.0
sheikh,2010-10-01,2.0
laas caanood,2010-10-01,2.0002498794389205
caynabo,2010-10-01,2.0
taleex,2010-10-01,2.853751443380657
xudun,2010-10-01,2.2507337224034885
ceerigaabo,2010-10-01,2.942286043326571
ceel afweyn,2010-10-01,2.0
laasqoray,2010-10-01,3.284098839480277
bossaso,2010-10-01,2.779796104319191
bandarbeyla,2010-10-01,2.1740489546975823
caluula,2010-10-01,3.0
iskushuban,2010-10-01,2.4967452549450817
qandala,2010-10-01,2.912629290982453
qardho,2010-10-01,2.000024931876911
garoowe,2010-10-01,2.380431277969974
burtinle,2010-10-01,3.9999606682852047
eyl,2010-10-01,3.2281731414578045
gaalkacyo,2010-10-01,4.0
galdogob,2010-10-01,4.0
hobyo,2010-10-01,3.887202952670585
jariiban,2010-10-01,3.8231488880568736
xarardheere,2010-10-01,3.659293929911516
dhuusamarreeb,2010-10-01,4.0
cabudwaaq,2010-10-01,4.0
cadaado,2010-10-01,4.0
ceel buur,2010-10-01,4.0
ceel dheer,2010-10-01,3.752352364869846
belet weyne,2010-10-01,3.9999982795933975
bulo burto,2010-10-01,4.0
jalalaqsi,2010-10-01,4.0
jowhar,2010-10-01,3.2018681236990654
adan yabaal,2010-10-01,3.9991401015450094
balcad,2010-10-01,3.283208616024092
cadale,2010-10-01,4.0
marka,2010-10-01,2.0
afgooye,2010-10-01,2.002041679158127
baraawe,2010-10-01,2.0
kurtunwaarey,2010-10-01,2.0
qoryooley,2010-10-01,2.0
sablaale,2010-10-01,2.0
wanla weyn,2010-10-01,2.004702385107367
baydhaba,2010-10-01,2.002207010614061
buur hakaba,2010-10-01,2.0009205323063104
diinsoor,2010-10-01,2.0
qansax dheere,2010-10-01,2.0041653782403155
xudur,2010-10-01,3.498677937774457
ceel barde,2010-10-01,3.9999958797055486
tayeeglow,2010-10-01,3.5809500412552344
waajid,2010-10-01,2.9999295284447967
rab dhuure,2010-10-01,3.2903572363858764
garbahaarey,2010-10-01,3.2001867991510715
baardheere,2010-10-01,2.0009545583766
belet xaawo,2010-10-01,3.0694318701482377
ceel waaq,2010-10-01,2.076240332968126
doolow,2010-10-01,3.859641425921703
luuq,2010-10-01,3.6009004733118326
bu'aale,2010-10-01,2.2709878897777656
jilib,2010-10-01,2.2489571868994425
saakow,2010-10-01,2.141278325777736
kismaayo,2010-10-01,2.0787065381879017
afmadow,2010-10-01,2.0131701597932725
badhaadhe,2010-10-01,2.0
jamaame,2010-10-01,2.794812895987884
banadir,2015-01-01,1.991883991904029
borama,2015-01-01,2.0
baki,2015-01-01,2.0
lughaye,2015-01-01,2.0
zeylac,2015-01-01,2.0
hargeysa,2015-01-01,2.0
berbera,2015-01-01,2.0
gebiley,2015-01-01,2.0
burco,2015-01-01,2.0
buuhoodle,2015-01-01,1.9989153047252384
owdweyne,2015-01-01,2.0
sheikh,2015-01-01,2.0
laas caanood,2015-01-01,1.3026349623400653
caynabo,2015-01-01,1.998999603594856
taleex,2015-01-01,1.427573462923874
xudun,2015-01-01,1.1263388104417325
ceerigaabo,2015-01-01,2.0
ceel afweyn,2015-01-01,2.0
laasqoray,2015-01-01,2.0
bossaso,2015-01-01,2.0
bandarbeyla,2015-01-01,2.0
caluula,2015-01-01,2.0
iskushuban,2015-01-01,2.0
qandala,2015-01-01,2.0
qardho,2015-01-01,2.0
garoowe,2015-01-01,1.9997499875535327
burtinle,2015-01-01,2.0
eyl,2015-01-01,2.0
gaalkacyo,2015-01-01,2.0
galdogob,2015-01-01,2.0
hobyo,2015-01-01,2.0
jariiban,2015-01-01,2.0
xarardheere,2015-01-01,2.0
dhuusamarreeb,2015-01-01,2.0
cabudwaaq,2015-01-01,2.0
cadaado,2015-01-01,2.0
ceel buur,2015-01-01,2.0
ceel dheer,2015-01-01,2.0
belet weyne,2015-01-01,2.164141451625063
bulo burto,2015-01-01,2.261323695974036
jalalaqsi,2015-01-01,2.4564896612838267
jowhar,2015-01-01,1.5071053877738263
adan yabaal,2015-01-01,2.0
balcad,2015-01-01,1.518994356476309
cadale,2015-01-01,2.0
marka,2015-01-01,1.932318455670012
afgooye,2015-01-01,1.2420196757050197
baraawe,2015-01-01,2.0
kurtunwaarey,2015-01-01,1.9952308200361133
qoryooley,2015-01-01,1.1581963106725983
sablaale,2015-01-01,1.762019139318777
wanla weyn,2015-01-01,1.6623050318373058
baydhaba,2015-01-01,1.005194871618189
buur hakaba,2015-01-01,1.1236978762315837
diinsoor,2015-01-01,1.0208336224413503
qansax dheere,2015-01-01,1.0206394805596288
xudur,2015-01-01,1.003398255947134
ceel barde,2015-01-01,2.0
tayeeglow,2015-01-01,1.0535137084686663
waajid,2015-01-01,1.0
rab dhuure,2015-01-01,1.0954747677267538
garbahaarey,2015-01-01,1.982116111115821
baardheere,2015-01-01,1.7213749051292253
belet xaawo,2015-01-01,2.0
ceel waaq,2015-01-01,2.0
doolow,2015-01-01,1.7016323645252898
luuq,2015-01-01,1.8939217208076689
bu'aale,2015-01-01,2.1354939448885326
jilib,2015-01-01,2.12447859343871
saakow,2015-01-01,1.997670101505404
kismaayo,2015-01-01,2.0
afmadow,2015-01-01,2.0008300093439857
badhaadhe,2015-01-01,2.0018368017257075
jamaame,2015-01-01,2.0013106192579926
banadir,2012-04-01,2.921640231147097
borama,2012-04-01,2.1805308355548347
baki,2012-04-01,2.2406670284078007
lughaye,2012-04-01,2.9605454180798647
zeylac,2012-04-01,2.7159808007474533
hargeysa,2012-04-01,2.000000864082359
berbera,2012-04-01,2.359737916205141
gebiley,2012-04-01,2.000001670403912
burco,2012-04-01,2.000000733923681
buuhoodle,2012-04-01,2.000001616382592
owdweyne,2012-04-01,2.0000002916717023
sheikh,2012-04-01,2.0
laas caanood,2012-04-01,2.0
caynabo,2012-04-01,2.0
taleex,2012-04-01,2.0
xudun,2012-04-01,2.0
ceerigaabo,2012-04-01,2.0
ceel afweyn,2012-04-01,2.042124402088313
laasqoray,2012-04-01,2.0
bossaso,2012-04-01,2.0
bandarbeyla,2012-04-01,2.174255904360624
caluula,2012-04-01,2.055231923942808
iskushuban,2012-04-01,2.093316089027749
qandala,2012-04-01,2.0
qardho,2012-04-01,2.0000157042337143
garoowe,2012-04-01,2.0
burtinle,2012-04-01,2.0
eyl,2012-04-01,2.262961925870256
gaalkacyo,2012-04-01,2.0
galdogob,2012-04-01,2.0
hobyo,2012-04-01,2.2949643943165685
jariiban,2012-04-01,2.177165530410337
xarardheere,2012-04-01,3.2436320697628087
dhuusamarreeb,2012-04-01,2.0
cabudwaaq,2012-04-01,2.0
cadaado,2012-04-01,2.0
ceel buur,2012-04-01,2.117549922922226
ceel dheer,2012-04-01,3.247647635119492
belet weyne,2012-04-01,2.1641423118956697
bulo burto,2012-04-01,2.288670667739229
jalalaqsi,2012-04-01,2.45649036220191
jowhar,2012-04-01,2.0034033239015736
adan yabaal,2012-04-01,2.9486369331579816
balcad,2012-04-01,2.00129406559617
cadale,2012-04-01,2.97037669933096
marka,2012-04-01,2.0
afgooye,2012-04-01,2.030791282731237
baraawe,2012-04-01,2.0
kurtunwaarey,2012-04-01,2.0
qoryooley,2012-04-01,2.0000107990173395
sablaale,2012-04-01,2.001518382495545
wanla weyn,2012-04-01,2.000355980649271
baydhaba,2012-04-01,2.994805128381811
buur hakaba,2012-04-01,2.876045456287515
diinsoor,2012-04-01,3.0
qansax dheere,2012-04-01,2.9837376754227534
xudur,2012-04-01,2.996601744052866
ceel barde,2012-04-01,2.000002060147235
tayeeglow,2012-04-01,2.946486291531334
waajid,2012-04-01,3.0
rab dhuure,2012-04-01,2.9045277489758594
garbahaarey,2012-04-01,2.088127171030656
baardheere,2012-04-01,2.1596459686825726
belet xaawo,2012-04-01,2.0
ceel waaq,2012-04-01,2.0
doolow,2012-04-01,2.2983733662574344
luuq,2012-04-01,2.1060795509707484
bu'aale,2012-04-01,2.9333006396869483
jilib,2012-04-01,2.8249516499422747
saakow,2012-04-01,2.4825793859085987
kismaayo,2012-04-01,2.442462705870975
afmadow,2012-04-01,2.5474003340750886
badhaadhe,2012-04-01,2.8507273613453115
jamaame,2012-04-01,2.998478186804041
banadir,2021-02-01,2.0
borama,2021-02-01,2.0
baki,2021-02-01,2.0
lughaye,2021-02-01,2.0
zeylac,2021-02-01,2.000001179920919
hargeysa,2021-02-01,2.000000219386709
berbera,2021-02-01,2.0
gebiley,2021-02-01,1.999999346824309
burco,2021-02-01,2.1429870896047403
buuhoodle,2021-02-01,2.0000016163825847
owdweyne,2021-02-01,2.179233901347941
sheikh,2021-02-01,2.082699921404704
laas caanood,2021-02-01,2.0
caynabo,2021-02-01,2.0
taleex,2021-02-01,2.0
xudun,2021-02-01,2.0
ceerigaabo,2021-02-01,2.0
ceel afweyn,2021-02-01,2.0
laasqoray,2021-02-01,2.0
bossaso,2021-02-01,2.0
bandarbeyla,2021-02-01,2.173857819094553
caluula,2021-02-01,2.0
iskushuban,2021-02-01,2.06898500013264
qandala,2021-02-01,2.0
qardho,2021-02-01,2.0000097690808483
garoowe,2021-02-01,2.0
burtinle,2021-02-01,2.0
eyl,2021-02-01,2.2627029454384155
gaalkacyo,2021-02-01,2.0
galdogob,2021-02-01,2.0
hobyo,2021-02-01,2.13277924177948
jariiban,2021-02-01,2.1769637441179173
xarardheere,2021-02-01,2.589281237622428
dhuusamarreeb,2021-02-01,1.997718851736993
cabudwaaq,2021-02-01,2.0
cadaado,2021-02-01,2.0
ceel buur,2021-02-01,1.8868764209268751
ceel dheer,2021-02-01,2.3904787321206538
belet weyne,2021-02-01,1.5533221183781256
bulo burto,2021-02-01,1.3010208008672732
jalalaqsi,2021-02-01,1.520543846339614
jowhar,2021-02-01,1.820122597154158
adan yabaal,2021-02-01,1.2304350892537774
balcad,2021-02-01,1.861632690447492
cadale,2021-02-01,1.2790847644126797
marka,2021-02-01,1.6983742265236466
afgooye,2021-02-01,2.0177782939969644
baraawe,2021-02-01,1.0684773294742027
kurtunwaarey,2021-02-01,1.2310149386459526
qoryooley,2021-02-01,1.460073669562474
sablaale,2021-02-01,1.153957497845855
wanla weyn,2021-02-01,1.4518470306438782
baydhaba,2021-02-01,1.5588217448933923
buur hakaba,2021-02-01,1.538544012431456
diinsoor,2021-02-01,1.3939672266315943
qansax dheere,2021-02-01,1.0285885260122525
xudur,2021-02-01,1.1717649888948214
ceel barde,2021-02-01,1.0000041203780787
tayeeglow,2021-02-01,1.4927370600179506
waajid,2021-02-01,1.5089490819356275
rab dhuure,2021-02-01,1.0000050334793644
garbahaarey,2021-02-01,1.999536264113429
