Regions,Districts,Rainfall,Vegetation cover (NDVI),Price of water,Sorghum prices,Maize prices,Red Rice prices,Local goat prices,Wage labor,TOT (goat to cereals),TOT (wage to cereals),Cost of Minimum Basket (CMB),New Admissions (GAM),Measles Cases,AWD/cholera cases,AWD/Cholera deaths,Malaria Cases,Insecurity - Incidents,Insecurity - Fatalities,Displacement (arrivals),Displacement (departures),Total alarms,date
Bakool,Tayeeglow,99.97,0.48,,5000,8000,17500,962500,68750,193,14,,359,,,,8,2,1,500 - 600,900 - 1000,4,01-Apr-2020
Bakool,Waajid,235,0.39,,8625,7000,29250,902500,72500,,,1991438,374,,,,,,,200 - 300,200 - 300,1,01-Apr-2020
Bakool,Rab Dhuure,262,0.22,,,,,,,,,,374,,,,,,,200 - 300,200 - 300,1,01-Apr-2020
Gedo,Garbahaarey,159,0.4,,,,,,,,,,453,,,,4,,,200 - 300,,0,01-Apr-2020
Gedo,Baardheere,202,0.47,8000,4750,10000,17250,995000,153750,209,32,1872563,708,,,,,,,6700 - 6800,7200 - 7300,3,01-Apr-2020
Gedo,Belet Xaawo,154,0.35,22000,15750,18250,19500,866500,188750,55,12,3258450,1074,8,5,,20,1,0,200 - 300,,3,01-Apr-2020
Gedo,Ceel Waaq,182,0.5,13500,15125,17500,23500,950000,105000,63,7,3155063,23,3,47,,7,,,,,6,01-Apr-2020
Gedo,Doolow,148,0.21,,,,,,,,,,1150,41,1,,59,1,0,,0 - 100,1,01-Apr-2020
Gedo,Luuq,179,0.27,15000,8500,9500,19500,907500,173750,107,20,2494313,472,1,4,,9,4,1,0 - 100,200 - 300,2,01-Apr-2020
Middle Juba,Bu'aale,147,0.53,27750,6000,8575,17750,800000,83750,93,10,2127250,,14,,,,1,1,,0 - 100,4,01-Apr-2020
Middle Juba,Jilib,125,0.38,25250,,9075,16500,847500,86500,93,10,2196813,,35,,,59,2,12,,0 - 100,5,01-Apr-2020
Middle Juba,Saakow,214,0.39,25500,5600,8775,18500,785000,86250,89,10,2109375,,16,,,,1,2,1300 - 1400,200 - 300,4,01-Apr-2020
Lower Juba,Kismaayo,209,0.54,70000,,13250,17000,1100000,120000,83,9,3041375,4476,47,2,,5,8,19,500 - 600,200 - 300,10,01-Apr-2020
Lower Juba,Afmadow,239,0.5,25000,,11500,20000,900000,80000,78,7,2257417,1123,,,,8,1,0,100 - 200,0 - 100,2,01-Apr-2020
Lower Juba,Badhaadhe,218,0.62,,,,,,,,,,,,,,,4,12,,0 - 100,2,01-Apr-2020
Lower Juba,Jamaame,150,0.32,10000,,9400,16250,875000,100000,93,11,2088125,,,,,,3,16,0 - 100,200 - 300,6,01-Apr-2020
Awdal,Borama,30.16,0.33,5000,3500,4500,6000,341625,59400,57,10,1158800,381,,,,26,,,500 - 600,300 - 400,3,01-May-2020
Awdal,Baki,13.17,0.24,,,,,,,,,,333,,,,12,,,100 - 200,200 - 300,2,01-May-2020
Awdal,Lughaye,4.23,0.19,,6000,,7000,456250,100000,76,17,,635,,,,5,,,,0 - 100,3,01-May-2020
Awdal,Zeylac,9.2,0.17,5000,5000,,7500,487500,125000,65,17,1075656,226,,,,3,,,,100 - 200,0,01-May-2020
Woqooyi Galbeed,Hargeysa,45.23,0.31,8000,4125,5000,6750,505000,70000,75,10,1179816,1831,,,,118,3,4,0 - 100,0 - 100,3,01-May-2020
Woqooyi Galbeed,Berbera,30.26,0.19,,,,,,,,,,441,,,,532,,,,0 - 100,1,01-May-2020
Woqooyi Galbeed,Gebiley,39.22,0.39,10250,2625,,7000,395000,98250,56,14,,819,,,,30,,,,,2,01-May-2020
Togdheer,Burco,44.5,0.38,10000,5500,5875,5375,510000,46250,95,9,1372263,211,1,,,3,1,0,0 - 100,100 - 200,3,01-May-2020
Togdheer,Buuhoodle,36.44,0.4,,,,,,,,,,1244,,,,,,,1300 - 1400,1300 - 1400,1,01-May-2020
Togdheer,Owdweyne,51.13,0.36,,,,,,,,,,74,,,,9,,,0 - 100,0 - 100,0,01-May-2020
Togdheer,Sheikh,52.39,0.38,,,,,,,,,,28,,,,15,,,,0 - 100,0,01-May-2020
Sool,Laas Caanood,34.9,0.23,46250,,,24500,2300000,200000,94,8,6452250,1962,,,,,,,300 - 400,200 - 300,4,01-May-2020
Sool,Caynabo,27.03,0.37,,,,,,,,,,247,,,,,1,1,100 - 200,0 - 100,4,01-May-2020
Sool,Taleex,19.63,0.21,,,,,,,,,,82,,,,,,,0 - 100,100 - 200,0,01-May-2020
Sool,Xudun,34.39,0.26,,,,20000,2037500,125000,,,,44,,,,,,,0 - 100,100 - 200,1,01-May-2020
Sanaag,Ceerigaabo,48.92,0.25,45000,,,19250,1400000,178750,73,9,6433469,520,,,,,,,500 - 600,500 - 600,3,01-May-2020
Sanaag,Ceel Afweyn,29.96,0.25,,,,9000,736000,60000,,,,174,,,,9,,,0 - 100,0 - 100,2,01-May-2020
Sanaag,Laasqoray,45.97,0.22,,,,,,,,,,427,,,,7,,,300 - 400,400 - 500,1,01-May-2020
Bari,Bossaso,29,0.19,12000,36000,,22000,1750000,165000,80,8,5577497,271,1,,,20,4,7,400 - 500,100 - 200,7,01-May-2020
Bari,Bandarbeyla,29.17,0.19,30000,,,25000,1575000,150000,63,6,5883622,34,,,,,,,100 - 200,400 - 500,2,01-May-2020
Bari,Caluula,8.02,0.21,25000,,,32000,1662500,250000,52,8,5858247,37,,15,,,,,0 - 100,100 - 200,3,01-May-2020
Bari,Iskushuban,17.57,0.18,30000,,,24250,1725000,153750,71,6,5829185,76,,,,,2,1,100 - 200,100 - 200,4,01-May-2020
Bari,Qandala,24.06,0.22,,,,,,,,,,39,,,,,,,0 - 100,200 - 300,0,01-May-2020
Bari,Qardho,35.77,0.19,,,,,,,,,,63,,26,,3,,,600 - 700,100 - 200,0,01-May-2020
Nugaal,Garoowe,34.53,0.19,9420,24500,24875,23250,2542500,151250,109,7,5706468,471,2,,,,2,0,0 - 100,0 - 100,5,01-May-2020
Nugaal,Burtinle,49.54,0.3,,,,24000,2410000,105000,,,,173,,,,,,,0 - 100,0 - 100,1,01-May-2020
Nugaal,Eyl,28.28,0.25,,27750,,28500,2070000,133750,75,5,,153,,,,,,,,,2,01-May-2020
Mudug,Gaalkacyo,40.01,0.31,29750,12000,13000,23500,2425000,158750,103,7,3495500,267,,2,,2,13,26,500 - 600,200 - 300,4,01-May-2020
Mudug,Galdogob,48.46,0.34,,,,,,,,,,84,,,,,,,100 - 200,100 - 200,0,01-May-2020
Mudug,Hobyo,26.24,0.32,,30000,37500,30000,1400000,190000,47,6,,36,,,,,,,,0 - 100,3,01-May-2020
Mudug,Jariiban,23.17,0.3,,26000,,26000,2042500,98750,79,4,,22,,3,,,,,0 - 100,0 - 100,2,01-May-2020
Mudug,Xarardheere,48.94,0.39,5000,11000,14000,17000,1050000,58750,62,3,2116000,104,,,,,,,,,2,01-May-2020
Galgaduud,Dhuusamarreeb,57.59,0.37,25000,17000,18000,22000,1050000,150000,48,7,3966000,362,,16,,4,4,0,3300 - 3300,3300 - 3300,1,01-May-2020
Galgaduud,Cabudwaaq,59,0.39,10000,16800,22400,24000,1372000,70000,57,3,3551125,21,,40,,53,1,1,,,7,01-May-2020
Galgaduud,Cadaado,50.99,0.32,,,,,,,,,,220,8,,,3,1,0,,,1,01-May-2020
Galgaduud,Ceel Buur,50.6,0.39,,,,,,,,,,335,,,,,2,1,,,3,01-May-2020
Galgaduud,Ceel Dheer,50.9,0.41,20000,10625,,18250,962500,162500,53,9,2815063,213,,,,,,,,0 - 100,3,01-May-2020
Hiraan,Belet Weyne,72.03,0.49,25000,13500,13000,20000,1050000,141250,78,10,2915438,3807,6,34,,,5,2,180900 - 181000,181600 - 181600,10,01-May-2020
Hiraan,Bulo Burto,59.02,0.58,12000,9000,12750,19750,875000,87500,,,2601313,28,2,,,,5,17,,,3,01-May-2020
Hiraan,Jalalaqsi,45.34,0.54,,6000,11250,22000,1050000,81000,175,14,,398,,,,,2,0,7400 - 7500,7400 - 7500,5,01-May-2020
Middle Shabelle,Jowhar,43.19,0.58,16000,4000,7700,15000,1462500,121250,190,16,1615428,745,20,,,33,4,2,6800 - 6900,7000 - 7100,5,01-May-2020
Middle Shabelle,Adan Yabaal,54.03,0.48,15000,21750,,31750,,56250,,3,4117938,,,,,,1,1,,,3,01-May-2020
Middle Shabelle,Balcad,58.55,0.51,,6000,10000,16000,1200000,38750,120,4,,1040,8,4,,,10,18,1200 - 1200,1200 - 1300,5,01-May-2020
Middle Shabelle,Cadale,46.22,0.49,,14000,14000,14500,775000,15000,55,1,,434,,,,2,1,0,,,4,01-May-2020
Banadir,Mogadishu,79.21,,,8975,11475,12750,1750000,100000,153,9,2576555,9207,170,783,,,60,40,5600 - 5700,3900 - 4000,8,01-May-2020
Lower Shabelle,Marka,62.03,0.58,47750,8000,9225,16500,2325000,60000,252,7,2321688,634,4,15,,23,15,29,200 - 300,300 - 400,5,01-May-2020
Lower Shabelle,Afgooye,85.24,0.43,,6667,11500,15000,1575000,93750,,,2008790,4845,,,,,31,72,100 - 200,1000 - 1100,5,01-May-2020
Lower Shabelle,Baraawe,59.55,0.53,,8500,9000,17750,1350000,23750,150,3,,200,6,,,,1,0,,0 - 100,6,01-May-2020
Lower Shabelle,Kurtunwaarey,69.49,0.76,,,7000,19500,1322500,70000,189,10,,,17,5,,1,,,300 - 400,400 - 500,2,01-May-2020
Lower Shabelle,Qoryooley,69.61,0.67,20000,4000,6850,17250,937500,63750,137,9,1990688,254,,,,,7,4,3600 - 3700,3800 - 3900,5,01-May-2020
Lower Shabelle,Sablaale,82.92,0.79,,,,,,,,,,,,,,,2,6,,100 - 200,2,01-May-2020
Lower Shabelle,Wanla Weyn,54.73,0.52,6000,3333,11000,14750,1515000,76667,138,7,1554186,670,,7,,,3,3,200 - 300,400 - 500,7,01-May-2020
Bay,Baydhaba,64.21,0.71,25000,5200,10000,18000,1175000,105000,226,20,1912875,1639,60,81,,1092,12,26,1000 - 1100,300 - 400,5,01-May-2020
Bay,Buur Hakaba,67.45,0.7,,4000,8250,16250,1262500,112500,316,28,,510,,,,,3,11,,0 - 100,6,01-May-2020
Bay,Diinsoor,44.47,0.68,30000,5300,7000,35000,795000,60000,150,11,2371750,842,,,,,7,5,200 - 300,800 - 900,10,01-May-2020
Bay,Qansax Dheere,32.47,0.63,20000,5125,8250,19250,1112500,65000,217,13,1877375,267,1,24,,24,2,0,,100 - 200,3,01-May-2020
Bakool,Xudur,42.7,0.67,30000,10500,13000,20000,1150000,81250,110,8,2950875,1035,,11,,67,,,1400 - 1400,1400 - 1500,1,01-May-2020
Bakool,Ceel Barde,43.24,0.65,,17000,20000,50000,975000,65000,57,4,3103625,487,1,,,11,,,1000 - 1100,1000 - 1100,4,01-May-2020
Bakool,Tayeeglow,50.38,0.75,,6000,8000,18000,780000,52500,130,9,,308,,,,16,1,1,600 - 600,0 - 100,4,01-May-2020
Bakool,Waajid,36.71,0.69,,9000,9000,30500,830000,71250,,,2063938,222,,,,,1,2,,300 - 400,3,01-May-2020
Bakool,Rab Dhuure,34.05,0.49,,,,,,,,,,49,,,,,,,,0 - 100,0,01-May-2020
Gedo,Garbahaarey,26.61,0.61,,,,,,,,,,596,,,,16,2,2,300 - 400,400 - 500,2,01-May-2020
Gedo,Baardheere,20.13,0.61,8000,6125,13000,20000,1012500,147500,165,24,2095000,361,,,,,4,3,300 - 400,1600 - 1700,6,01-May-2020
Gedo,Belet Xaawo,23.57,0.61,22000,17000,20250,20250,931000,141250,55,8,3402438,1061,,2,,5,,,0 - 100,0 - 100,6,01-May-2020
Gedo,Ceel Waaq,20.34,0.7,16250,17250,19750,27000,1037500,105000,60,6,3680625,33,4,69,,,5,3,1300 - 1400,1300 - 1400,9,01-May-2020
Gedo,Doolow,17.88,0.44,,,,,,,,,,1369,2,13,,32,,,0 - 100,0 - 100,2,01-May-2020
Gedo,Luuq,26.96,0.5,15000,9500,9750,19000,902500,187500,95,20,2622938,232,3,9,,18,,,300 - 400,0 - 100,1,01-May-2020
Middle Juba,Bu'aale,51.03,0.72,27750,6225,11700,18450,795000,70750,68,6,2212406,,26,,,,4,3,0 - 100,1400 - 1500,6,01-May-2020
Middle Juba,Jilib,63.39,0.7,24125,,11650,18375,827500,74000,71,6,2098031,,47,,,114,3,6,,100 - 100,7,01-May-2020
Middle Juba,Saakow,25.82,0.6,26125,6175,12000,17950,802500,74000,67,6,2222063,,21,,,,,,6500 - 6600,3200 - 3300,4,01-May-2020
Lower Juba,Kismaayo,70.78,0.74,70000,,16500,16750,1250000,120000,76,7,2943313,1430,65,,,13,7,7,100 - 200,0 - 100,9,01-May-2020
Lower Juba,Afmadow,40.89,0.65,23750,,14500,20000,925000,80000,64,6,2040083,856,1,,,11,4,8,100 - 200,0 - 100,7,01-May-2020
Lower Juba,Badhaadhe,122,0.72,,,,,,,,,,7,,,,,1,2,,,2,01-May-2020
Lower Juba,Jamaame,64.23,0.57,10000,,11750,19250,898750,105000,76,9,2076200,,,,,,3,2,200 - 300,400 - 500,6,01-May-2020
Awdal,Borama,18.45,0.25,5000,3540,4500,6260,351900,59160,56,9,1156708,1667,,,,,,,500 - 600,400 - 500,6,01-Jun-2020
Awdal,Baki,8.69,0.16,,,,,,,,,,225,,,,,,,100 - 200,100 - 200,0,01-Jun-2020
Awdal,Lughaye,1.54,0.12,,6000,,6900,455000,100000,76,17,,337,,,,,,,0 - 100,0 - 100,2,01-Jun-2020
Awdal,Zeylac,2.91,0.12,5000,5300,,8000,458000,118500,57,15,1060800,408,,,,,,,0 - 100,0 - 100,2,01-Jun-2020
Woqooyi Galbeed,Hargeysa,23.61,0.24,9600,4066,5200,6840,502000,70800,73,10,1186448,1596,,,,,,,100 - 200,0 - 100,4,01-Jun-2020
Woqooyi Galbeed,Berbera,4.13,0.12,,,,,,,,,,150,,,,,,,,100 - 200,0,01-Jun-2020
Woqooyi Galbeed,Gebiley,27.37,0.28,10000,2600,,7660,448000,93200,58,12,,944,,,,,,,,,2,01-Jun-2020
Togdheer,Burco,9.66,0.24,10000,5500,6000,5500,492000,47000,89,9,1392470,354,,,,1,,,0 - 100,100 - 200,4,01-Jun-2020
Togdheer,Buuhoodle,1.68,0.21,,,,,,,,,,1233,,,,,3,1,0 - 100,100 - 200,3,01-Jun-2020
Togdheer,Owdweyne,16.92,0.28,,,,,,,,,,221,,,,,,,100 - 200,100 - 200,1,01-Jun-2020
Togdheer,Sheikh,24.55,0.25,,,,,,,,,,6,,,,,,,,0 - 100,0,01-Jun-2020
Sool,Laas Caanood,1.08,0.17,63600,,,24000,2380000,200000,99,8,6514000,1922,,,,,,,200 - 300,0 - 100,4,01-Jun-2020
Sool,Caynabo,19,0.22,,,,,,,,,,634,,,,,,,100 - 200,100 - 200,1,01-Jun-2020
Sool,Taleex,3.9,0.18,,,,,,,,,,82,,,,,,,0 - 100,0 - 100,0,01-Jun-2020
Sool,Xudun,11.44,0.16,,,,21000,1940000,150000,,,,334,,,,,,,0 - 100,0 - 100,2,01-Jun-2020
Sanaag,Ceerigaabo,29.95,0.2,45000,,,18200,1670000,179000,92,10,6291700,184,,,,,1,1,500 - 600,400 - 500,4,01-Jun-2020
Sanaag,Ceel Afweyn,37.21,0.18,,,,9000,697500,46500,,,,401,,,,,1,0,0 - 100,0 - 100,2,01-Jun-2020
Sanaag,Laasqoray,12.79,0.19,,,,,,,,,,916,3,,,,2,1,900 - 1000,1000 - 1100,4,01-Jun-2020
Bari,Bossaso,13.06,0.19,12100,35400,,22600,1860000,165000,82,7,5492444,643,,,,,2,1,500 - 600,200 - 200,7,01-Jun-2020
Bari,Bandarbeyla,1.04,0.17,30000,,,25000,1690000,150000,68,6,5787644,271,,,,,,,100 - 200,300 - 400,3,01-Jun-2020
Bari,Caluula,3.04,0.18,25000,,,32000,1810000,250000,57,8,5828194,781,,,,,,,0 - 100,200 - 300,4,01-Jun-2020
Bari,Iskushuban,2.61,0.16,30000,,,24000,1770000,150000,74,6,5724894,904,,,,,2,3,100 - 200,0 - 100,5,01-Jun-2020
Bari,Qandala,11.92,0.21,,,,,,,,,,30,,,,,,,0 - 100,300 - 400,0,01-Jun-2020
Bari,Qardho,2.24,0.18,,,,,,,,,,1532,,,,,,,1300 - 1400,900 - 1000,1,01-Jun-2020
Nugaal,Garoowe,0.94,0.16,9716,25400,24200,21600,2478000,153000,115,7,5774094,274,,,,,1,1,0 - 100,100 - 200,5,01-Jun-2020
Nugaal,Burtinle,1.32,0.21,,,,23800,2242000,98000,,,,173,,,,,,,200 - 300,200 - 300,1,01-Jun-2020
Nugaal,Eyl,1.13,0.19,,29200,,29200,2078000,127000,71,4,,172,,,,,,,100 - 200,100 - 200,1,01-Jun-2020
Mudug,Gaalkacyo,1.75,0.19,28600,12000,13000,23400,2410000,165000,103,7,3498050,470,,,,37,3,2,700 - 800,200 - 300,4,01-Jun-2020
Mudug,Galdogob,1.46,0.21,,,,,,,,,,55,,,,,,,100 - 200,100 - 200,0,01-Jun-2020
Mudug,Hobyo,1.42,0.21,,31200,48000,30000,1400000,180000,45,6,,19,,,,1,2,3,,,5,01-Jun-2020
Mudug,Jariiban,1.58,0.2,,26800,,23600,1935000,96000,72,4,,27,,7,,,,,,0 - 100,2,01-Jun-2020
Mudug,Xarardheere,3.51,0.25,6800,,13400,17000,884000,55000,52,3,2162800,38,,,,,,,,,1,01-Jun-2020
Galgaduud,Dhuusamarreeb,1.01,0.26,25000,15600,18000,20000,960000,150000,48,8,3893500,882,12,2,,19,5,12,,,4,01-Jun-2020
Galgaduud,Cabudwaaq,1.42,0.27,10000,16800,22480,23680,1540000,80000,65,3,3579680,178,1,27,,8,,,0 - 100,0 - 100,5,01-Jun-2020
Galgaduud,Cadaado,1.59,0.23,,,,,,,,,,671,5,2,,2,1,0,,,1,01-Jun-2020
Galgaduud,Ceel Buur,1.21,0.22,,,,,,,,,,,,,,,2,1,,0 - 100,2,01-Jun-2020
Galgaduud,Ceel Dheer,6,0.23,20000,10600,,17400,870000,150000,50,9,2798100,203,,,,,1,0,,0 - 100,1,01-Jun-2020
Hiraan,Belet Weyne,2,0.29,25000,14000,13000,18800,1100000,137000,79,10,2940600,3568,5,34,,,19,17,,0 - 100,7,01-Jun-2020
Hiraan,Bulo Burto,2.73,0.29,12000,9600,13000,18000,960000,91800,,,2627350,24,1,,,,10,4,,0 - 100,2,01-Jun-2020
Hiraan,Jalalaqsi,5.1,0.29,,8000,11000,20000,1050000,75000,131,9,,489,,,,,,,,0 - 100,2,01-Jun-2020
Middle Shabelle,Jowhar,5.15,0.35,16000,5250,8000,15500,1457500,122500,182,15,1720878,1214,8,,,33,10,11,,100 - 200,4,01-Jun-2020
Middle Shabelle,Adan Yabaal,7.63,0.23,15000,21500,,27750,,51250,,2,3892200,,,,,,1,2,,0 - 100,2,01-Jun-2020
Middle Shabelle,Balcad,13.63,0.38,,5000,10000,16000,1012500,32500,101,3,,624,3,,,,7,2,,0 - 100,4,01-Jun-2020
Middle Shabelle,Cadale,10.9,0.26,,14000,14000,14500,725000,15000,52,1,,875,,,,,,,,,5,01-Jun-2020
Banadir,Mogadishu,24.71,,530000,7160,9560,12400,1834000,105000,192,11,2512067,10764,93,547,,21,43,28,5400 - 5500,0 - 100,5,01-Jun-2020
Lower Shabelle,Marka,16.9,0.49,47500,8000,9125,15750,2375000,61250,260,7,2312638,859,16,318,,120,15,60,300 - 400,2100 - 2200,5,01-Jun-2020
Lower Shabelle,Afgooye,13.47,0.35,,5833,11667,15000,1475000,82500,,,1829944,4186,,6,,,12,6,0 - 100,1900 - 2000,6,01-Jun-2020
Lower Shabelle,Baraawe,70.36,0.57,,,9250,16500,1350000,22500,146,2,,179,12,,,,2,0,,0 - 100,2,01-Jun-2020
Lower Shabelle,Kurtunwaarey,21.56,0.62,,,7300,18000,1345000,70000,184,10,,,9,33,,5,,,600 - 700,600 - 700,2,01-Jun-2020
Lower Shabelle,Qoryooley,14.01,0.5,17500,5000,7500,15750,937500,69375,125,9,2009833,80,,24,,35,6,0,0 - 100,400 - 500,4,01-Jun-2020
Lower Shabelle,Sablaale,59.24,0.64,,,,,,,,,,,,,,,,,,0 - 100,0,01-Jun-2020
Lower Shabelle,Wanla Weyn,7.41,0.29,6000,4166,10000,13750,1562500,52500,156,5,1606398,967,,5,,14,4,17,1100 - 1200,3200 - 3300,5,01-Jun-2020
Bay,Baydhaba,11.76,0.44,25000,5680,10640,16400,1238000,100000,218,18,1943300,3950,35,380,,959,6,14,1500 - 1500,900 - 1000,6,01-Jun-2020
Bay,Buur Hakaba,18.6,0.43,,4500,9000,15800,1374000,100000,305,22,,520,,8,,,6,2,,100 - 200,4,01-Jun-2020
Bay,Diinsoor,24.53,0.43,32000,5080,6600,29200,666000,50000,131,10,2385950,557,,,,23,1,0,1000 - 1100,1500 - 1600,7,01-Jun-2020
Bay,Qansax Dheere,10.72,0.42,24000,5400,8000,18000,1204000,58000,223,11,1987750,290,,19,,10,1,0,,300 - 400,1,01-Jun-2020
Bakool,Xudur,1.2,0.34,30000,10500,12700,18400,960000,71000,91,7,2918100,1360,,,,26,3,12,700 - 800,700 - 800,4,01-Jun-2020
Bakool,Ceel Barde,1.06,0.34,30000,18000,20000,29000,1020000,57000,57,3,2996250,585,,9,,2,,,300 - 400,300 - 400,3,01-Jun-2020
Bakool,Tayeeglow,3.77,0.38,,6000,8000,18000,768000,52000,128,9,,345,,,,11,,,200 - 200,200 - 300,4,01-Jun-2020
Bakool,Waajid,5.48,0.31,,9000,9000,30400,760000,75000,,,2061250,1301,,,,,,,,100 - 200,2,01-Jun-2020
Bakool,Rab Dhuure,1.12,0.24,,,,,,,,,,318,,,,,1,1,,0 - 100,2,01-Jun-2020
Gedo,Garbahaarey,4.77,0.29,,,,,,,,,,394,,,,31,2,2,200 - 300,200 - 300,2,01-Jun-2020
Gedo,Baardheere,8.29,0.32,8000,7500,13200,20000,1006000,153000,134,20,2251500,779,,,,,1,0,500 - 600,700 - 800,3,01-Jun-2020
Gedo,Belet Xaawo,3.21,0.28,22000,16300,18000,18400,884200,166000,54,10,3353900,1208,,10,,17,2,2,0 - 100,0 - 100,4,01-Jun-2020
Gedo,Ceel Waaq,5.8,0.32,16400,18800,19400,27200,1006000,103000,54,5,3859750,,3,134,,,1,3,0 - 100,100 - 200,10,01-Jun-2020
Gedo,Doolow,1.33,0.25,,,,,,,,,,1218,,35,,87,,,100 - 200,,0,01-Jun-2020
Gedo,Luuq,3.38,0.21,15000,8800,9000,19200,894000,188000,102,21,2597800,791,,8,,8,3,4,1700 - 1800,1500 - 1500,2,01-Jun-2020
Middle Juba,Bu'aale,71.09,0.5,31800,6700,14900,18400,758000,65600,51,4,2298375,,22,,,,,,,100 - 200,4,01-Jun-2020
Middle Juba,Jilib,118,0.64,30600,,14780,18920,820000,66400,55,4,2177800,,44,,,96,,,,100 - 200,5,01-Jun-2020
Middle Juba,Saakow,18.65,0.34,31400,6660,16333,18000,784000,67400,48,4,2267795,,21,,,,2,4,1900 - 2000,200 - 300,5,01-Jun-2020
Lower Juba,Kismaayo,60.73,0.69,70000,,18400,16000,1120000,120000,61,7,2907500,4299,24,1,,31,8,5,500 - 600,0 - 100,10,01-Jun-2020
Lower Juba,Afmadow,33.33,0.43,25000,,14200,17600,1060000,80000,75,6,2062767,919,,,,2,10,5,100 - 200,100 - 200,4,01-Jun-2020
Lower Juba,Badhaadhe,41.04,0.71,,,,,,,,,,10,2,1,,1,1,0,,,1,01-Jun-2020
Lower Juba,Jamaame,109,0.61,10000,,10200,17600,782000,92000,77,9,2104100,,,,,,1,3,100 - 200,600 - 700,6,01-Jun-2020
Awdal,Borama,73.12,0.18,5000,3375,4500,6125,316250,59625,52,10,1131963,320,,,,,,,500 - 600,500 - 600,4,01-Jul-2020
Awdal,Baki,28.24,0.13,,,,,,,,,,514,,,,,,,100 - 200,100 - 200,1,01-Jul-2020
Awdal,Lughaye,9.32,0.11,,6000,,7250,450000,100000,75,17,,320,,,,,,,0 - 100,100 - 200,0,01-Jul-2020
Awdal,Zeylac,29.68,0.1,8750,5375,,7625,463750,126250,61,17,1120760,320,,,,,,,0 - 100,0 - 100,1,01-Jul-2020
Woqooyi Galbeed,Hargeysa,22.1,0.17,11000,3875,5125,7000,503625,71000,72,10,1212331,1917,,,,,,,100 - 200,100 - 200,3,01-Jul-2020
Woqooyi Galbeed,Berbera,7.46,0.11,,,,,,,,,,93,,,,,1,2,,0 - 100,2,01-Jul-2020
Woqooyi Galbeed,Gebiley,56.16,0.21,10000,2125,5000,7325,441250,96250,60,13,,1100,,,,,,,0 - 100,0 - 100,2,01-Jul-2020
Togdheer,Burco,6.06,0.18,10000,6000,6000,5125,500000,42500,98,8,1398930,667,,,,1,,,0 - 100,0 - 100,4,01-Jul-2020
Togdheer,Buuhoodle,2.55,0.17,,,,,,,,,,1144,,,,,2,20,200 - 300,400 - 500,3,01-Jul-2020
Togdheer,Owdweyne,15.86,0.19,,,,,,,,,,312,,,,,,,100 - 200,100 - 200,0,01-Jul-2020
Togdheer,Sheikh,25.6,0.19,,,,,,,,,,5,,,,,,,,,0,01-Jul-2020
Sool,Laas Caanood,0.2,0.14,74000,,,24250,2537500,200000,105,8,6564688,1826,,,,,2,4,1000 - 1100,1000 - 1100,6,01-Jul-2020
Sool,Caynabo,3.34,0.17,,,,,,,,,,913,,,,,,,100 - 200,0 - 100,1,01-Jul-2020
Sool,Taleex,0.69,0.13,,,,,,,,,,65,,,,,,,0 - 100,400 - 500,1,01-Jul-2020
Sool,Xudun,1.19,0.14,,,,,,,,,,171,,,,,,,600 - 700,100 - 200,1,01-Jul-2020
Sanaag,Ceerigaabo,2.7,0.15,45000,,,17000,1875000,172500,110,10,6315750,269,,1,,,1,0,400 - 500,300 - 400,1,01-Jul-2020
Sanaag,Ceel Afweyn,3.55,0.15,,,,29000,637500,60000,,,,285,,21,,,,,0 - 100,0 - 100,4,01-Jul-2020
Sanaag,Laasqoray,1.44,0.16,,,,,,,,,,449,,,,,,,200 - 300,200 - 300,1,01-Jul-2020
Bari,Bossaso,0.86,0.16,12500,35000,,22250,1875000,165000,84,7,5479188,1240,,,,,4,2,400 - 500,200 - 300,7,01-Jul-2020
Bari,Bandarbeyla,0.15,0.14,30000,,,24250,1700000,150000,70,6,5728625,29,,,,,,,200 - 200,400 - 500,2,01-Jul-2020
Bari,Caluula,0.36,0.17,25000,,,32000,1812500,250000,57,8,5830125,37,,,,,,,0 - 100,200 - 300,3,01-Jul-2020
Bari,Iskushuban,0.33,0.14,30000,,,23250,1800000,165000,77,7,5659813,97,,,,,2,15,200 - 200,100 - 200,4,01-Jul-2020
Bari,Qandala,1.15,0.18,,,,,,,,,,33,,,,,1,20,,200 - 300,2,01-Jul-2020
Bari,Qardho,0.54,0.14,,,,,,,,,,36,,,,,,,1600 - 1700,1000 - 1100,0,01-Jul-2020
Nugaal,Garoowe,0.09,0.13,9500,26500,25375,22250,2407500,143750,108,6,5851375,264,3,,,,5,2,100 - 200,600 - 700,6,01-Jul-2020
Nugaal,Burtinle,0.16,0.17,,,,,,,,,,237,,,,,,,500 - 600,200 - 300,0,01-Jul-2020
Nugaal,Eyl,0.06,0.15,,28000,,28000,1977500,146250,71,5,,140,,,,,,,,,1,01-Jul-2020
Mudug,Gaalkacyo,1.31,0.16,25500,12000,13000,22250,2512500,167500,113,8,3529125,8339,2,1,,,4,4,700 - 800,100 - 200,6,01-Jul-2020
Mudug,Galdogob,0.6,0.18,,,,,,,,,,74,,,,,1,0,100 - 200,200 - 300,0,01-Jul-2020
Mudug,Hobyo,5.79,0.16,,30000,48000,30000,1400000,180000,47,6,,238,,,,1,1,1,,,5,01-Jul-2020
